Name;LoansAdvances;AssetRepos;LiabilityRepos;BankDeposits;OtherDepositsShortBorrowings;LongFunding;CustomerDeposits;LiquidAssets;Loans;Intangibles;NetInterestIncome;OperatingIncome;Equity;Goodwill;TotalAssetes
COMMONWEALTH BANK OF AUSTRALIA;14402575;8805455;13208873;29371572;13941278;15524351;426676558;80496738;522255714;5508596;12531797;16333523;48169267;4131620;675349040
COMMUNITY BANK SYSTEM, INC.;43243;0;241708;241708;17555;126522;8994969;205030;6840632;837597;361998;589614;1858409;773810;11410300
CREDICORP LTD.;2100978;1294063;2316843;5146340;n.a.;4510067;33797642;13002337;33372994;770149;2743149;4367310;8070703;n.a.;56691820
CREDIT AGRICOLE S.A.;614021152;128848346;117473923;247450162;n.a.;251878605;724980479;1226479654;443840678;20718864;12856188;23051042;79585016;17165550;1985769888
CREDITO EMILIANO SPA;2283461;n.a.;n.a.;6098851;n.a.;3403771;30194638;16386200;33297524;489430;539429;1323639;3239658;n.a.;53507519
CTBC FINANCIAL HOLDING CO LTD;5562062;550832;3496515;5957701;n.a.;3756814;111608004;44983833;82094339;811302;3674925;4648471;12662587;598397;206584550
CULLEN/FROST BANKERS, INC;3206323;356373;1695340;1695340;20666;538186;27709400;3811484;14618133;657434;1006669;1366732;3911664;654952;34096900
CVB FINANCIAL CORP;30139;0;428659;428659;0;25774;8704928;189329;7495920;706693;435772;494671;1994096;663707;11282500
DAH SING BANKING GROUP LIMITED;705660;n.a.;n.a.;316562;866935;707613;23453038;9505229;17892650;111717;523152;786187;3619470;104237;31258057
DAIWA SECURITIES GROUP INC;61590950;61590950;66734050;66734050;19234012;23581546;n.a.;141453556;1279043;1141812;111279;4035879;11570948;125382;219154552
DANSKE BANK A/S;64223101;51934271;57636873;72491499;1621205;55588160;144479845;133750206;273668718;1372849;4177864;7207118;25540826;921973;563377222
DBS GROUP HOLDINGS LTD;31677554;2479216;1494953;19141182;22621735;23699526;300095762;89884207;265650244;3837589;7144448;10795725;38449377;n.a.;429740213
DEUTSCHE BANK AG;115446186;97654902;51785363;138125382;42245451;119191601;556477241;458080895;479490649;7896378;15445625;26779606;69830535;3236515;1457806782
DEUTSCHE BOERSE AG;74983008;74983008;67799653;67799653;350388;36527796;15481573;135821177;9437457;5626436;275458;3671720;6864647;3898759;154091478
DEUTSCHE PFANDBRIEFBANK AG;2646730;n.a.;n.a.;4712662;n.a.;24260943;26944745;5983228;45663957;43813;514517;572934;3635322;n.a.;63833826
DISCOVER FINANCIAL SERVICES;5995710;0;0;0;4747490;20953613;72836730;6954770;92514360;410467;9839668;11452265;11859042;255421;113996000
DNB ASA;11726765;n.a.;n.a.;23095900;n.a.;100804555;110427903;83389407;189884850;621185;4464920;6199089;27591685;484738;318142821
DOHA BANK;2131029;n.a.;2718551;6603557;909953;1144550;16061493;7831514;18072599;n.a.;544017;752520;3658768;n.a.;29727591
DONGXING SECURITIES CO LTD;2246429;741860;1186371;1193701;n.a.;3699638;n.a.;4761205;1879191;7459;112551;568683;2909534;2862;11098263
DUBAI FINANCIAL MARKET;886956;37231;n.a.;n.a.;n.a.;18202;n.a.;1118511;n.a.;1353022;-965;88131;2148772;783900;2636055
DWS GROUP GMBH & CO. KGAA;n.a.;n.a.;n.a.;n.a.;93242;157276;n.a.;6182069;3370;4248698;13481;2834338;7697536;3236515;12303475
E. SUN FINANCIAL HOLDING CO LTD;1218693;165119;240093;2163423;664;1382086;69188355;27119365;47974559;205563;660037;1810865;5752378;148642;82985390
EAGLE BANCORP, INC.;192787;38987;30980;30980;257789;239857;7224390;241973;7528799;104739;324045;349729;1190681;104168;8988720
EAST WEST BANCORP, INC;3772230;865000;200000;200000;130520;904417;37358170;4317314;34420647;481776;1469217;1674726;5017625;465697;44196100
EMIRATES NBD BANK PJSC;10937383;n.a.;136419;11358829;n.a.;14430833;128572042;33755232;119109604;1799162;3977634;7304899;22221065;1512717;186064140
EMPRESA GENERAL DE INVERSIONES, SA;528095;n.a.;403947;502673;n.a.;2160703;12132210;5764468;11858583;296623;658927;1060166;3289576;271587;19355698
ENTIE COMMERCIAL BANK PUBLIC COMPANY;238777;47665;n.a.;170881;n.a.;28896;8666019;1858071;6641795;6227;121606;213250;1119167;4561;10166459
EQUITY GROUP HOLDINGS PLC;212599;n.a.;n.a.;n.a.;n.a.;633632;4763852;2184949;3616072;102105;443897;692998;1103028;30621;6647972
EUROBANK ERGASIAS SERVICES AND HOLDINGS SA;3378063;2881521;224680;8000854;n.a.;2919716;50149693;15317557;41975836;424645;1546922;2145694;7489707;179744;72752498
EVERBRIGHT SECURITIES COMPANY LIMITED;2765928;1185889;3525993;4393848;127840;9198638;n.a.;14649300;5412292;190389;225123;1439795;7015716;145441;29210011
F.I.B.I. HOLDING CO. LTD;622975;2604;n.a.;328993;n.a.;1063079;34839410;10895255;25734375;72627;752894;1206597;2584491;868;40834201
FAR EASTERN INTERNATIONAL BANK PUBLIC COMPANY;585535;330331;321382;691313;n.a.;865034;17850134;7184470;12775686;55607;181287;389347;1570598;n.a.;21752725
FB FINANCIAL CORPORATION;183875;131119;23745;23745;104417;212038;4934940;232681;4641019;262161;226036;361131;762329;169051;6124920
FEDERAL BANK LTD. (THE);929295;n.a.;n.a.;710862;n.a.;1398102;19749185;1749414;16504238;3663;651591;886591;1990203;n.a.;24321965
FIFTH THIRD BANCORP;1950060;0;728719;728719;3002060;12510140;127368827;6012400;109755950;5446540;4863149;8317065;21202827;4252380;169369000
FINECOBANK BANCA FINECO SPA;10605301;n.a.;n.a.;173737;n.a.;0;29118365;11831610;18846681;142777;315987;731568;1553082;n.a.;31480930
FIRST ABU DHABI BANK;11355991;6719775;10570959;20375690;5782697;15176065;141364697;84657548;111069577;5309214;3478503;5505829;29417845;4729816;223817020
FIRST AMERICAN FINANCIAL CORPORATION;866706;0;0;0;23039;1003780;3371228;1530381;306429;1242743;206726;6157246;4425007;1150910;11519200
FIRST BANCORP;571459;0;100000;100000;130000;624150;9348439;644099;8886540;62433;567087;655422;2228076;28098;12611300
FIRST BANCORP, NORTH CAROLINA;116326;0;0;0;238097;82429;4932172;232018;4451784;251585;216203;277106;852401;234368;6144460
FIRST BUSEY CORPORATION;392742;0;205491;205491;10194;261739;7902400;529288;6702201;386525;287454;403698;1220438;311536;9695730
FIRST CAPITAL SECURITIES CO., LTD;1407870;357452;1353843;1425472;n.a.;1005162;n.a.;3675069;713110;42476;-13236;369725;1361705;2080;5091459
FIRST CITIZENS BANCSHARES;1138840;0;442956;442956;357273;526642;34431160;1515559;28724228;417674;1311369;1871354;3586187;349398;39824500
FIRST CITIZENS BANK LIMITED;n.a.;n.a.;577802;904335;8592;0;3829391;547875;2791711;32988;241948;334450;1059469;23240;6426354
FIRST COMMONWEALTH FINANCIAL CORP.;19510;0;65653;65653;139672;283605;6677620;121856;6153502;319694;269862;353438;1055665;303328;8308770
FIRST FINANCIAL BANCORP;64994;0;165181;165181;1260780;368869;10210230;257786;9157700;1024622;484254;612450;2247812;937771;14511600
FIRST FINANCIAL BANKSHARES, INC;51070;3150;381356;381356;0;0;6603813;282604;4170699;173667;289090;397518;1227197;171565;8262230
FIRST FINANCIAL HOLDING COMPANY LIMITED;6669227;29234;815008;10291109;723350;1391781;79692101;24483810;58625342;22705;983334;1699781;7298628;n.a.;106515878
FIRST HAWAIIAN INC;333642;0;0;0;400000;200019;16444950;694017;13082074;1008160;573402;765935;2640261;995492;20166700
FIRST HORIZON CORPORATION;1115570;633165;1265270;1265270;2751140;296420;32434040;3114646;31457983;1567396;1218044;1861791;5076005;1432790;43313500
FIRST INTERNATIONAL BANK OF ISRAEL LTD.;620081;2604;n.a.;328993;n.a.;1063079;34839410;10892361;25734375;71759;752894;1206597;2582176;n.a.;40830440
FIRST INTERSTATE BANCSYSTEM, INC;841112;98;697571;697571;5;98323;11663560;1079963;8958529;741803;496689;642843;2013966;621585;14644100
FIRST MERCHANTS CORPORATION;118263;0;242946;242946;41300;448457;9839960;295464;8388063;580408;356660;441800;1786440;543919;12457300
FIRST MIDWEST BANCORP, INC;84327;0;263515;263515;670000;959191;13251280;299221;12768310;881120;588482;749752;2370787;796756;17850400
FIRST NATIONAL OF NEBRASKA, INC.;234459;6700;191787;191787;849572;651439;17940010;1081165;16157563;217833;1278137;1671853;2402682;165329;22623700
FIRST REPUBLIC BANK;234864;0;450000;450000;4300000;9525604;90133300;1699872;90324031;276989;2783217;3340662;9851107;171616;116263634
FIRSTCARIBBEAN INTERNATIONAL BANK LIMITED;1145279;n.a.;n.a.;n.a.;n.a.;89806;10026455;4435830;6145062;218961;425992;616059;1257014;218961;11561506
FIRSTRAND LIMITED;n.a.;n.a.;4389813;4389813;4794109;18367422;72676269;13839009;85090044;740351;4266457;7600612;10203943;511422;117785879
FLAGSTAR BANCORP INC;206977;0;470042;470042;3697790;1236513;15708900;427460;18015780;461050;569337;1169879;1788007;114376;23265000
FNB CORPORATION;191939;0;852950;852950;2350000;1352621;24797130;600279;23144334;2375084;935882;1210079;4883194;2262170;34619600
FOUNDER SECURITIES CO., LTD;5242296;551492;3047316;3894023;n.a.;2853803;n.a.;9464915;2902883;684871;196965;943887;5650548;647350;19549905
FRANKLIN RESOURCES, INC.;n.a.;n.a.;n.a.;n.a.;23500;724200;n.a.;6531800;n.a.;2994500;6300;5864900;10624200;2130300;14532200
FUBON FINANCIAL HOLDING CO LTD;19723332;3087987;6160964;11130308;n.a.;8950697;85000864;91340508;65408451;1086600;4539984;7651417;20583481;527604;283920199
FUKUOKA FINANCIAL GROUP INC;862834;346099;18466882;39154150;3189283;20238621;158001790;42791170;146451873;176688;1603606;2111601;7847848;n.a.;230620109
FULTON FINANCIAL CORPORATION;363723;0;383241;383241;331733;850035;17393920;496006;16729106;574571;648390;862351;2342174;532674;21861900
GARANTI BBVA;5084819;4518;246401;749403;n.a.;9019087;46163973;14243812;45496284;5542;2942102;4294320;9096926;5542;72187765
GF SECURITIES CO.LTD;6158603;2961015;13653416;14080500;n.a.;12588036;n.a.;41833700;8281027;39313;488108;3337503;13473106;333;56446409
GLACIER BANCORP, INC;132321;0;569824;569824;31662;175683;10776460;330960;9457514;521322;511262;631737;1960728;456418;13684000
GOLDMAN SACHS GROUP, INC;343338000;221469000;132590000;132590000;53592000;221076000;189690000;695318000;145108000;4838000;4367000;36788000;92059000;4196000;992996000
GREAT WESTERN BANCORP, INC;68553;0;66289;66289;252323;451423;10088525;247421;9553383;751535;422136;480064;1920732;740562;12851700
GREEN DOT CORPORATION;1019710;0;0;0;35000;0;1252068;1175598;53330;520994;35840;1106785;927356;301790;2460590
GROUPE BRUXELLES LAMBERT SA;1349428;n.a.;n.a.;n.a.;1007690;6343614;n.a.;22640551;n.a.;5893917;-94927;6382709;23972679;5189096;34986603
GRUPO AVAL ACCIONES Y VALORES S.A.;5654967;n.a.;n.a.;9995692;n.a.;n.a.;53275275;18597367;52805002;4880486;3541651;6482531;10123789;2230867;84647345
GRUPO BOLIVAR S.A;1704365;110238;424963;4979993;n.a.;3911906;23196302;7754797;28208576;580390;2187158;4082282;4769195;499664;40641312
GRUPO FINANCIERO BANORTE S.A.B. DE C.V.;771337;162906;18363562;21181097;n.a.;3977512;36165549;16295502;39904963;1416806;4341742;7409738;10400420;1416806;83841509
GRUPO FINANCIERO GALICIA SA;724394;503019;n.a.;387600;n.a.;748287;6580608;4235012;5889870;92091;434845;2264127;1629311;n.a.;11107627
GRUPPO MUTUIONLINE S.P.A.;n.a.;n.a.;n.a.;105770;n.a.;6491;n.a.;99990;n.a.;120521;-1263;256081;128290;109041;369381
GUANGZHOU YUEXIU FINANCIAL HOLDINGS GROUP COMPANY LIMITED;1229267;13997;81685;81685;1060561;7165823;n.a.;4593044;6294669;4295;109649;1198251;3338420;n.a.;16392412
GUARANTY TRUST BANK PLC;1402577;87593;n.a.;350223;n.a.;548128;8249317;4279864;4887857;65945;753626;1196668;2238884;28288;12244035
GULF BANK KSC (THE);2794476;n.a.;n.a.;4676456;n.a.;343260;13033826;5721396;13940301;n.a.;542498;685191;2192123;n.a.;20608537
GUOSEN SECURITIES CO., LTD;10975671;3402417;5985849;6751784;80594;5374172;n.a.;19922555;5396887;95435;243277;2017075;8051417;1468;32151755
GUOTAI JUNAN INTERNATIONAL HOLDINGS LIMITED;297207;288675;2337129;2337129;n.a.;2303080;n.a.;8791113;1504546;2875;250556;535203;1465492;n.a.;12423033
GUOTAI JUNAN SECURITIES CO., LTD;11334237;7720051;18035966;19394008;n.a.;11985131;n.a.;64199619;10509086;311158;748069;4291081;20909378;85847;80050705
GUOYUAN SECURITIES CO LTD;3487232;1155156;2106705;2121017;n.a.;1966322;n.a.;5843690;1761786;24275;183080;457823;3556091;17300;11903367
HABIB BANK LIMITED;426580;158292;1275323;1676990;n.a.;1038673;15740077;3172738;7535286;58692;654266;809606;1451268;18509;20838272
HAITONG INTERNATIONAL SECURITIES GROUP LIMITED;640415;640415;3387385;3387385;944413;6541313;n.a.;12472304;1985078;62401;376570;1052514;3471245;48812;20068640
HAITONG SECURITIES CO. LTD;19172282;8227450;9857976;12834583;8163856;23589166;411283;58669331;15607093;669886;-57849;5069713;20197330;591732;91139777
HANA FINANCIAL GROUP;5800776;n.a.;3612380;4305005;n.a.;52358652;235614370;71666284;244523609;565930;4986791;7885618;23959380;73564;364057828
HANCOCK WHITNEY CORP;82885;268;679872;679872;778131;1490331;23820300;528381;21077413;962260;895448;1225837;3467687;855453;30619700
HANG SENG BANK LTD.;10031591;855143;241171;1428021;258636;4895595;154547066;64354822;121090279;2819314;4142160;5610505;22976371;42250;215357777
HAWAIIAN ELECTRIC INDUSTRIES INC;48631;0;115110;115110;285332;1864740;6308987;196813;5080111;91291;158501;2792664;2280263;82190;13745300
HDFC BANK LTD;3436883;n.a.;n.a.;2516512;n.a.;24554767;149757734;13015730;137093371;n.a.;7965928;11099612;23470615;n.a.;209698419
HEARTLAND FINANCIAL USA, INC.;175691;0;86936;86936;100692;295388;11044330;382298;8324273;501769;433729;568350;1578137;446345;13209600
HERCULES CAPITAL, INC;n.a.;n.a.;n.a.;n.a.;n.a.;1298613;n.a.;114996;n.a.;n.a.;192917;236526;1133049;n.a.;2461968
HILLTOP HOLDINGS INC;486210;59425;693750;693750;815068;399870;9032210;1391396;9426624;377122;441190;1647353;2128793;291435;15172400
HO CHI MINH CITY DEVELOPMENT JOINT STOCK COMMERCIAL BANK;1065207;n.a.;n.a.;2159476;284215;927469;5442392;1546814;6249175;16994;420927;489589;880204;954;9910484
HOKUHOKU FINANCIAL GROUP INC.;725014;n.a.;2819853;3447857;745483;7614416;106330436;25823129;79132910;159338;964508;1385952;5476707;85419;125527704
HOME BANCSHARES, INC.;321687;0;148727;148727;221416;769580;11278390;490601;10767600;994980;570924;661308;2511530;958408;15032000
HOME CAPITAL GROUP INC;n.a.;n.a.;n.a.;n.a.;711834;1842718;10503336;850065;13087811;52047;308023;348826;1287844;1780;14670034
HONG LEONG BANK BERHAD;311786;n.a.;563476;2340014;n.a.;681022;38861779;10171998;32908791;472365;667350;1272385;6150262;442132;50065043
HONG LEONG FINANCIAL GROUP BHD;2429471;n.a.;563476;2924785;245798;920150;38576311;16432603;33089718;615710;718147;1418638;6905127;582000;57431821
HOPE BANCORP INC;564711;0;0;0;347807;640192;12526910;758750;12236126;492700;466641;516538;2036015;464450;15667700
HOUSING BANK FOR TRADE & FINANCE (THE);716638;n.a.;n.a.;1021477;392821;244575;8183821;2357268;5857494;33214;417951;508421;1582837;504;11889085
HOUSING DEVELOPMENT FINANCE CORPORATION LIMITED;40202;n.a.;n.a.;29108;3838702;35090186;17521228;5437623;59095421;372627;1919603;4654194;17753516;213139;96810533
HSBC HOLDINGS PLC;364169000;290010000;197548000;261387000;62890000;81418000;1439115000;1179663000;1041299000;20163000;30462000;58452000;192668000;5590000;2715152000
HSBC TRINKAUS & BURKHARDT AG;2232196;n.a.;n.a.;2929939;n.a.;675163;19828906;15896894;12207425;96949;256248;916919;2795693;n.a.;29874348
HUA NAN FINANCIAL HOLDINGS CO LTD;2877702;26558;1214730;5124208;25178;2093864;73872880;14106247;55485619;30360;844137;1545125;6267875;1351;90740324
HUA XIA BANK CO., LIMITED;9081007;3442107;13421211;135237010;n.a.;14666523;239197937;27488765;261796334;11450;9240160;12127379;38548304;n.a.;432344207
HUATAI SECURITIES COMPANY LIMITED;9778056;2642948;15703312;17329561;n.a.;16920372;n.a.;47638437;9965598;1151470;303660;3560694;17984071;334029;80460946
HUISHANG BANK CO LTD;6823945;4100648;7208381;55842024;n.a.;4668374;86368229;40032632;70755541;59866;3538862;4481563;12808591;n.a.;161975272
HUNTINGTON BANCSHARES INC;226495;0;1040680;1040680;3603280;8085584;82496020;1275489;75497966;2465408;3237197;4666723;11794738;1989540;109002000
ICICI BANK LIMITED;12435285;n.a.;n.a.;5116564;429420;26368553;102677771;17119442;93524461;n.a.;5328616;8203733;17212081;n.a.;182698914
ICICI SECURITIES LIMITED;319874;n.a.;n.a.;n.a.;198649;20885;296;430980;75726;3140;19713;211033;160446;n.a.;589344
IDBI BANK LTD;2661940;n.a.;n.a.;4670095;n.a.;3427280;26254235;4059970;17209305;n.a.;930293;1412077;4634727;n.a.;39889864
IDFC FIRST BANK LTD;149661;n.a.;n.a.;281274;n.a.;7613782;8351500;593832;11312665;n.a.;797503;1018866;2043290;n.a.;19786001
IGM FINANCIAL INC;n.a.;n.a.;n.a.;1492;n.a.;6971500;445962;825000;5511940;2979090;-82997;1549165;3445206;2037114;11786106
INDEPENDENT BANK CORP.;36288;0;0;0;104912;198190;9155190;153204;8839207;540607;398898;508450;1708143;506205;11403000
INDEPENDENT BANK GROUP, INC.;384590;0;0;0;329587;280466;11941340;570889;11598484;1094762;504757;583250;2339774;994021;14958200
INDIABULLS VENTURES LIMITED;379357;n.a.;n.a.;n.a.;n.a.;714761;n.a.;528186;629193;22714;155550;274549;741218;5182;1535728
INDIAN BANK;1489385;n.a.;n.a.;2102906;n.a.;1233707;33940212;2250287;25848268;n.a.;1008647;1425410;3022946;n.a.;41140446
INDIAN OVERSEAS BANK;2773123;n.a.;n.a.;37141;n.a.;692004;29564532;3191665;16094973;462;703425;1114902;2142970;n.a.;34585622
INDUSIND BANK LIMITED;314584;n.a.;n.a.;1814799;n.a.;7990692;25052557;2129590;27429952;10458;1599602;2485812;4609354;n.a.;40754120
INDUSTRIAL & COMMERCIAL BANK OF CHINA (THE) - ICBC;270400455;120965506;37680406;362224556;63025189;110548017;3288629567;745291248;2336704143;3772578;86865034;111424358;385287387;1362101;4309351040
INDUSTRIAL BANK CO LTD;51638757;5991269;27681694;349044079;683126;34849005;543127517;158892513;493982105;168742;14739945;25949334;78667811;76141;1022710882
INDUSTRIAL BANK OF KOREA;8720913;n.a.;1542815;2352766;n.a.;131295704;101909774;32196650;207182148;262204;4968032;6145154;19672350;n.a.;274754744
INDUSTRIAL SECURITIES CO., LTD;8052806;1234846;3686336;3758677;1201577;6923483;n.a.;15001401;2967663;30404;107417;2039490;5301801;1755;24413189
ING BANK SLASKI S.A. - CAPITAL GROUP;255418;45159;29439;1668589;553;772362;34355924;6350001;31147298;113200;1130658;1531637;4008558;58799;41764934
ING GROEP NV;96915705;67490493;48360117;87483640;58202223;95556392;645317948;216545432;689823680;2153558;15815223;20396448;61407283;1018924;1001785079
INTERACTIVE BROKERS GROUP INC;21051000;21051000;6319000;6319000;n.a.;140000;n.a.;39049000;n.a.;34000;1083000;1686000;7940000;n.a.;71676000
INTERCORP FINANCIAL SERVICES INC;1088698;364667;n.a.;93187;804626;2475376;11494636;6476346;11206051;295492;1037815;1406634;2686617;129947;21593933
INTERNATIONAL BANCSHARES CORPORATION;23252;0;236537;236537;190000;571152;8826030;256820;6834675;283845;435492;590031;2135798;282533;12112900
INTESA SANPAOLO;55076925;n.a.;n.a.;116074166;n.a.;95350809;372048687;362179619;470466378;10347636;7778421;20216704;63151923;n.a.;916808867
INVESCO LTD;n.a.;n.a.;n.a.;n.a.;n.a.;8679700;n.a.;2133700;n.a.;15867700;-107200;6305600;14318300;8509400;39420300
INVESTEC LIMITED;2747871;1655922;1488239;4105932;n.a.;1243366;20985813;11432432;16160131;30015;478175;838525;3167804;12241;32160796
INVESTEC PLC;4229034;2011357;490478;2244801;n.a.;3106864;18887212;10976279;15433404;411774;491188;1061757;2952711;322835;30808170
INVESTMENT CORPORATION OF BANGLADESH;n.a.;n.a.;n.a.;35503;n.a.;282838;1266000;218031;317207;n.a.;-76382;39480;367993;n.a.;2124736
INVESTORS BANCORP, INC;82212;0;847910;847910;3236500;1928570;17989200;180986;21511177;97868;660579;707850;2621939;82546;26772500
ISTAR INC;n.a.;n.a.;n.a.;n.a.;n.a.;3569011;n.a.;352206;674645;174973;-85769;662039;1237960;n.a.;5085109
ITAU CORPBANCA;1363959;102032;751332;4526854;n.a.;8855854;22150406;2087733;29929811;2172578;1137114;1665225;4620323;1603947;45312218
ITAU UNIBANCO HOLDINGS SA;57817671;49236494;63666657;64416266;n.a.;98306988;125068606;154118505;136413982;4892931;15961142;29199027;37087168;2768666;406312737
IYO BANK LTD;3369862;3271049;2104811;4106817;4435686;7089908;48266892;9991877;43254068;74039;610626;934085;6180736;n.a.;71716231
JAPAN POST BANK CO LTD;101489028;90564750;157083796;157083796;n.a.;97617;1683550969;576790627;45636635;435308;8934665;12983873;82826636;n.a.;1940302569
JAPAN POST HOLDING CO LTD;133694816;119927318;196551516;196551516;2519559;1180534;1668609616;626830877;97658136;2683468;n.a.;110019056;116069682;23459;2632000541
JIANGSU CHANGSHU RURAL COMMERCIAL BANK CO., LTD;563132;153958;1464185;3429916;n.a.;436529;19762262;2163145;15058842;26461;814417;922467;2561793;n.a.;26454768
JIANGSU JIANGYIN RURAL COMMERCIAL BANK;151219;n.a.;1247781;2359516;n.a.;216351;13637950;1669356;9599212;17962;353863;487240;1699306;n.a.;18082595
JIANGSU SUZHOU RURAL COMMERCIAL BANK CO;1506946;584576;688546;2269110;n.a.;172606;13733503;2511456;9481368;35414;419526;500778;1663781;n.a.;18027096
JIANGSU ZHANGJIAGANG RURAL COMMERCIAL BANK CO. LTD;220253;n.a.;1093954;2271986;n.a.;377967;13294975;915172;9886801;17842;455512;551430;1536771;n.a.;17610517
JIANGSU ZIJIN RURAL COMMERCIAL BANK;2528367;1304348;1655399;7118931;n.a.;464768;19108679;3922573;14049065;18519;571540;669132;1967820;n.a.;28813321
JIH SUN FINANCIAL HOLDING CO., LTD;531796;199;996647;1332610;6643;102864;7340849;3301425;5496868;6119;106614;280162;1515949;1093;11271517
JM FINANCIAL LIMITED;176107;n.a.;n.a.;n.a.;n.a.;1565160;n.a.;997155;1578562;8393;118777;259094;1079039;6956;2751910
JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM- VIETCOMBANK;10773931;n.a.;n.a.;7168339;50;924345;40097210;12944675;31280074;97637;1493300;1990428;3493111;n.a.;52805825
"JOINT STOCK COMPANY ""HALYK SAVINGS BANK OF KAZAKHSTAN";2705567;435281;n.a.;799720;53253;2140524;16744852;9222306;9808006;20615;1040221;1441496;3416772;8063;24137478
JPMORGAN CHASE & CO;632531000;388915000;183675000;183675000;90833000;267931000;1562431000;1015647000;980365000;53341000;57595000;116211000;261533000;47823000;2687380000
JSIB UKRSIBBANK;428584;n.a.;n.a.;168;n.a.;10527;1914198;545910;902262;22025;177579;275314;289536;n.a.;2245895
JYSKE BANK A/S;8883746;6929852;2589014;6974640;n.a.;6478827;19014515;24629937;65854342;150;795548;1263949;5349091;n.a.;97325903
KASIKORNBANK PUBLIC COMPANY LIMITED;2785435;n.a.;n.a.;2707037;n.a.;2713537;68715561;15382201;62343538;778570;3405452;5322394;15046585;126816;109235559
KASPI KZ;471735;45921;7841;7841;n.a.;565514;4252523;1975689;3377255;21446;375938;1061379;772686;n.a.;5717821
KBC ANCORA;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
KBC GROEP NV/ KBC GROUPE SA;34818655;28754543;2880397;23922800;n.a.;20693025;207544753;86017603;175043672;1842376;5188984;8604119;22878038;985222;326611656
KCB GROUP PLC;248420;n.a.;n.a.;201023;n.a.;272291;6775280;1307742;5283093;62534;549318;827372;1280299;n.a.;8867212
KEARNY FINANCIAL CORP.;13455;0;15000;15000;861271;398778;4205952;41796;4467715;215702;151703;162659;1094570;210895;6610400
KEYCORP;1212071;5481;386588;386588;2009920;10438588;111889737;3064929;95935306;3506417;3908513;6363221;17038128;2663830;145570000
KIATNAKIN BANK PUBLIC COMPANY LIMITED;321642;n.a.;n.a.;575019;n.a.;1837747;5709808;1001339;7550485;139851;408445;603968;1459550;101679;10336606
KING'S TOWN BANK;168573;4983;937289;1566057;n.a.;n.a.;6370779;3163386;5160123;n.a.;157955;283010;1359580;n.a.;9391580
KIWOOM SECURITIES CO LTD;1465638;n.a.;3986889;3986889;n.a.;4097017;5541942;14244869;4596103;51661;261188;805639;1950623;27943;20187980
KIYO BANK;34278;n.a.;1485787;1485787;547958;2293174;36595585;4707811;28050866;31150;409255;667121;2026265;n.a.;43497389
KOMERCNI BANKA;10811238;8785554;n.a.;4136953;n.a.;405950;36316124;13283940;28613192;431900;1042881;1454180;4802396;165864;47625394
KOREA INVESTMENT HOLDINGS CO. LTD;n.a.;n.a.;n.a.;n.a.;n.a.;21817336;5691866;36272338;10360933;87855;707420;1664212;4347017;n.a.;52484291
KOTAK MAHINDRA BANK LIMITED;7238305;n.a.;n.a.;267409;n.a.;8647468;34326222;8500244;33146643;107945;2331136;4034969;8905775;107945;58787214
KRUNG THAI BANK PUBLIC COMPANY LIMITED;2837907;n.a.;n.a.;7157343;n.a.;3211557;71495159;15104327;64991892;129344;2928842;4155020;11551582;n.a.;99894415
KUWAIT PROJECTS COMPANY HOLDING K.S.C.;2534882;n.a.;n.a.;4703386;n.a.;6378080;17607847;9375483;16738403;1049107;400439;1587477;3621469;587223;34039843
LAKELAND FINANCIAL CORPORATION, INDIANA;30018;3327;0;0;170000;5100;4133830;98623;4019705;8773;155640;200003;598100;4970;4948170
LAURENTIAN BANK OF CANADA;2174150;1928788;1944440;1944440;1320261;5718062;19492860;4944412;25506132;385875;521589;735950;1951110;88639;33702983
LAZARD LIMITED;1180686;n.a.;n.a.;n.a.;n.a.;2323907;1246200;2455559;663138;373594;-64398;2586773;681574;371773;5639581
LIC HOUSING FINANCE LTD;259112;n.a.;n.a.;n.a.;1011348;22714022;1667661;750014;27587985;680;641093;640743;2423173;28;28774577
LIVE OAK BANCSHARES, INC.;203073;96787;0;0;194;2438;4229127;230788;3565501;34370;152215;207936;532386;0;4814970
LLOYDS BANKING GROUP PLC;84880359;73683783;50757899;64465930;25310061;127769294;540330249;382040346;591834761;8046104;13357687;24089762;62728643;3049437;1094192701
M&T BANK CORPORATION;7193650;3500;164042;164042;1499210;5385294;94770110;8685788;89871809;4990191;4130263;6115748;15716631;4593110;119873000
MACQUARIE GROUP LTD;23285928;23285928;1441245;1441245;n.a.;53828716;41583689;45208415;58117254;2017990;1147933;8276971;13451621;1060248;157957752
MAIN STREET CAPITAL CORPORATION;n.a.;n.a.;n.a.;n.a.;n.a.;1114012;n.a.;55246;n.a.;n.a.;137123;193115;1536390;n.a.;2711549
MALAYAN BANKING BERHAD - MAYBANK;6311631;3332702;3415698;14058877;n.a.;13426796;133055813;56749438;125453808;1670486;2955407;6109547;20542266;1395106;203888336
MALAYSIA BUILDING SOCIETY;662563;n.a.;n.a.;2595423;n.a.;724977;6175187;3323897;8296597;77029;37125;337665;2098197;36171;12390875
