Name;LoansAdvances;AssetRepos;LiabilityRepos;BankDeposits;OtherDepositsShortBorrowings;LongFunding;CustomerDeposits;LiquidAssets;Loans;Intangibles;NetInterestIncome;OperatingIncome;Equity;Goodwill;TotalAssetes
SOUTH STATE CORP;426685;100517;298741;298741;706098;198684;12177100;688704;11372472;1083241;504201;659448;2373013;1002900;15921100
SOUTHSIDE BANCSHARES, INC;43748;0;28358;28358;957121;184623;4702770;110697;3543786;216463;169805;211314;804580;201116;6748910
SOUTHWEST SECURITIES CO LTD;2144662;223284;2077523;2279083;n.a.;2212681;n.a.;4673274;1513965;51359;26840;499333;2799167;27540;9424788
SPAR NORD BANK;1459279;1359966;414027;608457;n.a.;612801;7980797;4363606;6464597;26064;235624;491320;1462125;23817;13947633
SPAREBANK 1 OESTLANDET;136560;n.a.;n.a.;415718;n.a.;3550000;8940091;2329271;12154670;46355;246811;483030;1811276;34738;15351139
SPAREBANK 1 SMN;240319;n.a.;n.a.;1008314;n.a.;5194647;9785535;3296014;14268565;99317;306036;697267;2325740;83485;18982004
SPAREBANK 1 SR-BANK ASA;357859;n.a.;n.a.;257859;1047494;12425057;11743280;3466401;23426879;31093;454100;732005;2828474;28929;29145216
STANBIC IBTC HOLDINGS PLC;375987;n.a.;329423;1140182;173661;474401;2077655;1902560;1733303;17042;253521;607661;984459;n.a.;6112234
STANDARD BANK GROUP LIMITED;2451100;2451100;1902315;10537918;n.a.;2349713;93049812;47249441;84208300;1591596;4486030;8336790;14935894;162774;162246071
STANDARD CHARTERED PLC;121791000;69583000;56042000;84604000;n.a.;70527000;405357000;325642000;271064000;5290000;7667000;15717000;50661000;3079000;720398000
STATE BANK OF INDIA;22402574;n.a.;n.a.;6075957;n.a.;39519183;432884420;44551073;304138323;205607;14422837;26142062;34357080;205607;556800710
STATE STREET CORPORATION;70452000;1487000;1102000;1102000;1873000;12495000;181873000;74274000;26235000;9586000;2723000;11770000;24431000;7556000;245610000
STERLING BANCORP INC;174907;0;22678;22678;1468770;1394511;22477030;329151;21342087;1802152;918928;1053653;4530118;1683480;30639500
STIFEL FINANCIAL CORP;1319945;385008;391634;391634;1158480;777010;15332617;2631910;11365514;1360970;553438;3337029;3669790;1194070;24610200
STONEX GROUP INC;2847700;2847700;4233600;4233600;n.a.;167600;n.a.;6477600;n.a.;67900;44200;32633100;594200;51200;9936100
STOREBRAND GROUP;4670;n.a.;n.a.;50797;n.a.;3149658;1640547;41186446;6908656;708428;897494;1677677;3803872;246241;72115033
SUMITOMO MITSUI FINANCIAL GROUP, INC;153808119;126576996;143730640;178142223;123284632;241829272;1168741687;747381783;754723227;6932650;11744195;34838060;99217133;1787387;2022663529
SUMITOMO MITSUI TRUST HOLDINGS, INC;19039623;18044334;14341482;15656790;97613444;79967114;282326781;140459094;272089890;1190938;1172732;9396633;23835383;414784;519784305
SUNCORP GROUP LIMITED;345109;n.a.;n.a.;244135;1571316;12513815;26655657;15253244;40910922;3776137;1040858;2558921;9082786;3271961;66556151
SVB FINANCIAL GROUP;5966420;289340;0;0;18596;565964;62138220;6680925;32859676;187240;2097618;3318075;6621078;137823;71384000
SVENSKA HANDELSBANKEN AB;3051843;1122773;n.a.;15913993;n.a.;157376038;115689567;58423967;245412233;1202779;3455636;4792189;17187530;753498;330096564
SWEDBANK AB;9906014;5512243;2473;7495725;13847494;81610120;102587721;52519652;172661274;1921005;2794726;4942307;14907896;1474197;258968737
SYDBANK A/S;2852499;2622568;1428122;1917944;n.a.;1393071;12626762;11885588;9070537;35800;255546;578349;1762159;n.a.;22130050
SYNCHRONY FINANCIAL;10050000;0;0;0;4206000;15660000;65159000;11237000;81777000;2343000;12946000;13313000;15088000;1078000;104826000
