Name;Country;LoansAdvances;AssetRepos;BankDeposits;LiabilityRepos;OtherDepositsShortBorrowings;LongFunding;CustomerDeposits;TradingLiabilities;TotalAssetes;LiquidAssets;Loans;Intangibles;NetInterestIncome;OperatingIncome;Equity;Goodwill
FIRST CITIZENS BANCSHARES;US;1138840;0;442956;442956;357273;526642;34431160;0;39824500;1515559;28724228;417674;1311369;1871354;3586187;349398
FIRST HORIZON CORPORATION;US;1115570;633165;1265270;1265270;2751140;296420;32434040;505581;43313500;3114646;31457983;1567396;1218044;1861791;5076005;1432790
BANQUE CENTRALE POPULAIRE SA;MA;2047351;534685;4821192;2669142;n.a.;1300898;32051286;n.a.;44972300;13879364;26456350;374690;1167648;1856878;4899727;257578
PEOPLE'S UNITED FINANCIAL, INC;US;318624;0;2029080;2029080;3105850;1012663;43589090;0;58579600;804571;43921201;3285281;1445582;1837860;7947181;3065520
SEI INVESTMENTS COMPANY;US;n.a.;n.a.;n.a.;n.a.;n.a.;47606;n.a.;n.a.;2151370;878033;n.a.;388544;15952;1820902;1738778;64489
BANQUE SAUDI FRANSI JSC;SA;997891;n.a.;632571;n.a.;n.a.;189837;35423336;n.a.;47506290;3826356;33526694;n.a.;1388181;1816209;8785792;n.a.
E. SUN FINANCIAL HOLDING CO LTD;TW;1218693;165119;2163423;240093;664;1382086;69188355;1634393;82985390;27119365;47974559;205563;660037;1810865;5752378;148642
ARAB NATIONAL BANK PUBLIC JOINT STOCK COMPANY;SA;2781598;2230133;821915;n.a.;n.a.;741021;37901041;n.a.;48917996;4663006;31689901;n.a.;1480784;1798963;7558210;n.a.
MIRAE ASSET DAEWOO CO LTD;KR;n.a.;n.a.;n.a.;n.a.;n.a.;80038338;5143890;14610804;115002418;45391501;65016485;536379;481196;1788302;7940608;n.a.
TCF FINANCIAL CORPORATION;US;735513;36273;219145;219145;2767180;2037270;34506030;0;46671900;1230485;34584234;1524561;1288532;1761165;5727244;1299880
VIETNAM JOINT-STOCK COMMERCIAL BANK FOR INDUSTRY AND TRADE;VN;5587930;n.a.;7777411;n.a.;840030;1873952;38556910;n.a.;53582877;7185072;39832661;197564;1433774;1757944;3340739;n.a.
BANK OF THE PHILIPPINE ISLANDS;PH;485181;n.a.;1354387;n.a.;n.a.;1830995;33409723;n.a.;43454004;3296134;29074097;55120;1299563;1731200;5380616;n.a.
SUNCORP GROUP LIMITED;AU;345109;n.a.;244135;n.a.;1571316;12513815;26655657;n.a.;66556151;15253244;40910922;3776137;1040858;2558921;9082786;3271961
RHB BANK BERHAD;MY;307433;39732;5811082;547960;245985;1541500;46562059;11662;62942577;14004866;42330280;802452;882002;1725892;6306856;648533
TAIWAN COOPERATIVE FINANCIAL HOLDING CO LTD;TW;2020237;47709;9583506;1513148;n.a.;2327889;96054112;404965;124210739;22939379;72856473;123288;1174045;1715257;7536946;105295
CHAILEASE HOLDING CO LTD;KY;24105;n.a.;n.a.;n.a.;n.a.;4991986;n.a.;n.a.;16519559;660339;7510268;2501;950139;1707668;2455923;2016
FIRST FINANCIAL HOLDING COMPANY LIMITED;TW;6669227;29234;10291109;815008;723350;1391781;79692101;105547;106515878;24483810;58625342;22705;983334;1699781;7298628;n.a.
SCOTIABANK PERU SAA;PE;454811;n.a.;5390465;2121627;n.a.;666979;13507210;n.a.;23028008;4657982;15089677;294204;1326677;1692376;2986777;174011
INTERACTIVE BROKERS GROUP INC;US;21051000;21051000;6319000;6319000;n.a.;140000;n.a.;677000;71676000;39049000;n.a.;34000;1083000;1686000;7940000;n.a.
EAST WEST BANCORP, INC;US;3772230;865000;200000;200000;130520;904417;37358170;0;44196100;4317314;34420647;481776;1469217;1674726;5017625;465697
SCOTIABANK CHILE;CL;1289544;31084;6264101;1462925;n.a.;8739074;21473450;n.a.;46538491;3627421;33273719;250661;1160757;1669053;2879352;n.a.
QNB FINANSBANK A.S.;TR;3269635;2528455;3096256;470181;n.a.;6658449;16832136;n.a.;31472302;6256635;19621330;80638;1087719;1609138;2823847;n.a.
BANCA MEDIOLANUM SPA;IT;740710;n.a.;265602;n.a.;n.a.;76630;26802576;8794710;60031830;30351877;27621030;228557;342852;1586811;2632253;n.a.
COMMERCIAL INTERNATIONAL BANK (EGYPT) S.A.E.;EG;1388282;198210;738481;n.a.;n.a.;204635;19036237;n.a.;24181826;7826583;7460786;0;1349246;1575160;3243927;n.a.
