Name;LoansAdvances;AssetRepos;LiabilityRepos;BankDeposits;OtherDepositsShortBorrowings;LongFunding;CustomerDeposits;LiquidAssets;Loans;Intangibles;NetInterestIncome;OperatingIncome;Equity;TotalAssetes
NATIONAL BANK OF GREECE SA;3340991;196595;561700;4998006;NA;3006218;49034157;10820587;32781931;225803;1714308;2250170;5928181;72176194
STOREBRAND GROUP;4670;NA;NA;50797;NA;3149658;1640547;41186446;6908656;708428;1005353;1677677;3803872;72115033
IYO BANK LTD;3369862;3271049;2104811;4106817;4435686;7089908;48266892;9991877;43254068;74039;732300;934085;6180736;71716231
INTERACTIVE BROKERS GROUP INC;21051000;21051000;6319000;6319000;NA;140000;NA;39049000;NA;34000;1726000;1686000;7940000;71676000
SVB FINANCIAL GROUP;5966420;289340;0;0;18596;565964;62138220;6680925;32859676;187240;2310425;3318075;6621078;71384000
ALPHA BANK AE;3743943;1308705;7072377;11527524;NA;1453558;45345231;14596128;44111721;553101;2271914;2606506;9521477;71288282
ZIONS BANCORPORATION, NATIONAL ASSOCIATION;731113;484409;986878;986878;1002382;1962589;57085490;2113626;48342919;1040947;2693597;2836517;7353251;69171552
YAPI VE KREDI BANKASI AS;6376003;NA;NA;1658829;NA;14998566;38266926;7569684;41129077;330520;6467865;3178925;6619384;68788699
PIRAEUS BANK SA;1509849;1106549;2689419;3702726;NA;1161595;53194106;8010964;44050755;322416;2105251;2127719;8732187;68786896
TP ICAP PLC;922441;855522;855522;855522;NA;1087772;NA;1949855;10497;2062700;7873;2393362;2270020;68317090
OTP BANK PLC;1391325;NA;NA;2759717;NA;2365810;51473528;13666150;40303528;821806;3033670;4105154;7773929;68269548
SUNCORP GROUP LIMITED;345109;NA;NA;244135;1571316;12513815;26655657;15253244;40910922;3776137;2055436;2558921;9082786;66556151
MIZUHO TRUST & BANKING CO, LTD;2029402;1822015;2665952;10096550;15826036;2446026;28996524;20630369;30811556;416440;361150;1672962;5634223;66278300
AKBANK TAS;7614796;4586288;1674490;2839452;NA;9041209;40019304;19795031;38000345;160320;6138791;3523501;9167436;65143750
CAISSE REGIONALE DE CREDIT AGRICOLE MUTUEL DE PARIS ET D'ILE-DE-FRANCE SC;4495917;119234;232994;31548971;NA;987818;22907761;9323714;49514506;2014;1077647;1166245;7352403;64882712
DEUTSCHE PFANDBRIEFBANK AG;2646730;NA;NA;4712662;NA;24260943;26944745;5983228;45663957;43813;1983924;572934;3635322;63833826
UNICAJA BANCO SA;1428841;1247285;3157057;7514381;NA;1566499;47319048;8644615;30347236;74397;857891;1257562;4460341;63705326
E*TRADE FINANCIAL, LLC;2489300;200000;0;0;701;1695770;38606405;2577823;12379084;2943216;2110764;2882095;6543265;61416100
BANCA MEDIOLANUM SPA;740710;NA;NA;265602;NA;76630;26802576;30351877;27621030;228557;413639;1586811;2632253;60031830
