Name;Country ISO code;TotalAssetes;LoansAdvances;AssetRepos;LiabilityRepos;BankDeposits;OtherDepositsShortBorrowings;LongFunding;CustomerDeposits;LiquidAssets;Loans;Intangibles;NetInterestIncome;OperatingIncome;Equity
AKBANK T.A.S.;TR;65143750,13;7614795,676;4586287,569;1674490,443;2839451,76;n.a.;9041208,658;40019303,81;19795030,72;40137586,55;160319,5612;2848925,064;3523501,152;9167436,336
TURKIYE IS BANKASI A.S. - ISBANK;TR;94125014,27;4206118,212;501293,5551;481684,941;1502889,168;9452002,431;14124042,37;48564417,42;19454709,32;56432255,61;323039,9094;3812592,311;7661879,628;12486473,99
WOORI BANK;KR;300726950;12433707,2;n.a.;155814,4778;279225,2586;n.a.;35486860,91;227711148,4;47374333;232452277,3;476792,1986;4906941,68;6454930,991;19567360,78
INDUSTRIAL BANK OF KOREA;KR;274754743,8;8720913,057;n.a.;1542814,842;2352766,486;n.a.;131295704;101909774,2;32196650,12;209432067,1;262204,1839;4968031,679;6145153,823;19672350,41
KEB HANA BANK;KR;319172445,2;2625657,317;n.a.;451335,2972;1143960,976;n.a.;31943487,22;234046433,5;48676725,48;229002500,9;261102,9574;4676121,155;8807291,534;21995549,62
HANA FINANCIAL GROUP;KR;364057827,5;5800775,688;n.a.;3612380,426;4305005,241;n.a.;52358652,46;235614370,1;71666283,58;245913775,1;565930,2202;4986790,532;7885617,658;23959380,18
KB KOOKMIN BANK;KR;334621733,7;3311763,735;n.a.;716958,8973;948248,415;n.a.;31770057,44;259904548,4;50335409,22;254841536,5;232104,8572;5496447,648;7206720,602;25051160,3
CLOSE BROTHERS GROUP PLC;GB;14545733,81;225448,0352;60172,02804;23517,01533;224265,6154;n.a.;3404317,883;7774672,715;2199300,763;10320422,47;315443,3173;649017,071;1225249,636;1904484,101
STANDARD CHARTERED PLC;GB;720398000;121791000;69583000;56042000;84604000;n.a.;70527000;405357000;325642000;276847000;5290000;7667000;15717000;50661000
NATWEST GROUP PLC;GB;948735625;78246128,89;64220557,52;64812337,18;91702227,16;n.a.;71858582,68;484507451,6;222489466,4;433979179,4;8689057,31;10558871,06;15707747,67;57152005,47
LLOYDS BANKING GROUP PLC;GB;1094192701;84880359,3;73683783,34;50757898,51;64465929,57;25310061,38;127769294,2;540330249,1;382040345,8;596111057,8;8046103,809;13357687,02;24089761,88;62728642,97
BARCLAYS PLC;GB;1496151484;253436524,2;240808392,6;276082921,1;296572143,3;34935993,79;91145875,56;525365178,4;734210909,1;417325371,5;10653345,86;12343395,06;28464469,98;86155769,1
HSBC HOLDINGS PLC;GB;2715152000;364169000;290010000;197548000;261387000;62890000;81418000;1439115000;1179663000;1050031000;20163000;30462000;58452000;192668000
SBERBANK OF RUSSIA;RU;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
NORTHERN TRUST CORPORATION;US;136828000;41814585;712785;889939;889939;6911380;4587989;109120649;44198324;31409565;817387;1677888;6073437;11090956
SPAR NORD BANK;DK;13947632,51;1459278,896;1359966,444;414026,5725;608457,2857;n.a.;612801,2692;7980796,584;4363606,398;6682245,08;26063,90145;235623,6608;491319,5217;1462124,955
SYDBANK A/S;DK;22130049,85;2852499,284;2622567,739;1428122,049;1917943,645;n.a.;1393070,595;12626761,91;11885588,44;9379409,503;35800,41637;255546,0683;578348,9857;1762159,406
JYSKE BANK A/S;DK;97325903,47;8883745,997;6929852,144;2589014,211;6974640,112;n.a.;6478826,814;19014514,87;24629937,5;66581434,61;149,7925371;795548,1645;1263949,428;5349091,5
DANSKE BANK A/S;DK;563377221,6;64223100,9;51934270,95;57636872,84;72491499,16;1621204,629;55588160,31;144479845,2;133750205,7;276553872,4;1372848,602;4177863,652;7207118,13;25540825,91
NORDEA BANK ABP;FI;623316162;9566873,154;n.a.;2582696,264;38873005,14;49750885,92;180287702,1;186962944,1;144757934,9;365002723,1;4150962,459;4850840,568;9690447,138;35418550,59
SWEDBANK AB;SE;258968737,3;9906014,345;5512242,809;2473,304421;7495725,419;13847493,78;81610120,48;102587720,8;52519651,56;173379500,2;1921004,79;2794726,46;4942307,442;14907896,16
